food_item,count
Salami (3 slices),4
Tzatziki Sauce (2 tbsp),4
Olive Oil (1 tbsp drizzle),4
Chimichurri (1 tbsp),4
Lemonade (1 cup),2
Potato Salad (1/2 cup),2
Horchata (1 cup),2
Lime (juice of 1),2
Collard Greens (1 cup cooked),2
Figs (2 medium),2
Chicken & Rice Soup (1 can),2
Tabouli (1/2 cup),2
Espresso (1 oz in drink),2
Crushed Tomatoes (1/2 cup sauce),2
Hummus Wrap (large),2
Cheese Danish,2
Soyrizo (2 oz),2
Olives (Kalamata 5 large),2
Tiramisu (1 slice),2
Veggie Straws (1 oz),2
Cereal (Frosted Flakes 1 cup),2
Salsa (1/4 cup),2
Celery (1/4 stalk minced),2
Coconut (shredded 1/4 cup),2
Ricotta (filling 1 oz),2
Gochugaru (1 tsp),2
Mango (1 cup slices),2
Celery Sticks (1 cup),2
Aioli (Garlic 1 tbsp),2
Lentil Soup (1 cup Middle Eastern),2
Cumin (1 tsp),2
Quinoa (1 cup cooked),2
Prosciutto (1 slice),2
Breadstick (1 large),2
Carrot (1/4 minced in sauce),2
Corn Nuts (1 oz),2
Mint Tea (1 cup),2
Raita (2 tbsp),2
Ceviche (1 cup fish),2
Powdered Sugar (1 tsp),2
Dim Sum (Siu Mai 3 pcs),2
Sugar (1 tsp for cereal),2
Waffle Cone (1 small),2
Feta Cheese (1 oz),2
Mozzarella (1 slice),2
Peanut Butter (2 tbsp),2
Flan (1 slice),2
Thai Iced Tea (1 glass),2
Cardamom (in coffee),2
Garlic Sauce (Toum 1 tbsp),2
Sweet & Sour Chicken (1 cup),2
Bell Pepper (1 medium red),2
Dates (2 medium Medjool),2
Eggo Waffle (2 waffles),2
Chocolate Chip Cookie (1 large),2
Beets (1/2 cup roasted),2
Chicken Wrap (with tortilla),2
Italian Sausage (1 link),2
Salsa (2 tbsp),2
Wasabi (1 tsp),2
Grilled Cheese Sandwich,2
Pesto (1/4 cup),2
Hummus (1/4 cup),2
Chicken Salad Sandwich,2
Rice Krispies (1.5 cups),2
White Wine Sauce (1/4 cup),2
Garlic Bread (1 slice),2
Vodka (1.5 oz),2
Protein Bar,2
Turkey Sausage (1 patty),2
Philly Cheesesteak (6 inch),2
Turkish Coffee (1 small cup),2
Pulled Pork Sandwich,2
Baklava (1 piece),2
Baba Ganoush (1/4 cup),2
Ricotta Cheese (1/4 cup),2
Cereal Bar (Fruit),2
Pork Belly (1 oz in soup),2
Naan Bread (1 piece),2
Protein Shake (Whey),2
Parsley (1/4 cup in tabouli),2
Macaroni & Cheese (1 cup),2
Crackers (5 whole wheat),2
Split Pea Soup (1 cup),2
French Onion Soup (1 cup),2
Congee (1 cup plain),2
Potato Chips (1 oz),2
Artichoke (1 medium steamed),2
Veal Parmesan (1 serving),2
Sesame Oil (1 tsp),2
Tuna (Canned 3oz in water),2
Calamari (fried 3oz),2
Polenta (1 cup creamy),2
Oat Milk (1 cup),2
Candied Fruit (1 tbsp),2
Orange Sauce (1/4 cup for duck),2
Mint (1 tbsp in tabouli),2
Quinoa Salad (1 cup),2
Lemon Slice (garnish),2
Wild Rice (1 cup cooked),2
Gremolata (1 tbsp),2
Ketchup (1 tbsp),2
Chicken Liver (2 oz cooked),2
Limoncello (1.5 oz shot),2
Pear,2
Green Beans (1/2 cup w/ pasta),2
Trofie Pasta (1 cup cooked),2
Pizza (Margherita 1 slice),2
Spring Roll (Veg 2 rolls),2
Cucumber Salad (1/2 cup),2
Swiss Cheese (1 slice),2
Whiskey (1.5 oz shot),2
Turkey Sandwich (on wheat),2
Lasagna (1 serving meat),2
Coconut Water (1 cup),2
Sumac (1/2 tsp dressing),2
Garlic (1/2 clove in pesto),2
Gazpacho (1 cup),2
Gochujang (1 tbsp),2
Pasta Salad (1 cup),2
Orange Slice (garnish),2
Club Soda (2 oz),2
Hummus (2 tbsp),2
Seitan (3oz),2
Corn (1 cup),2
Nutella (1 tbsp),2
Poached Egg (1 large),2
Croutons (1/4 cup),2
Bruschetta (2 pcs),2
Kiwifruit (1 medium),2
Sweet Tea (16 oz),2
Mozzarella (1 oz melted),2
Manakeesh (Za'atar 1 small),2
Olive Oil (1 tbsp dressing),2
Mashed Potatoes (side),2
Paella (1.5 cups seafood),2
Pad Thai (Chicken 1.5 cups),2
Butter (1 tbsp),2
Saffron (pinch in risotto),2
Mate (1 cup),2
Asparagus (6 spears roasted),2
Spinach Artichoke Dip (1/4 cup),2
Pisco Sour (1 drink),2
Cherries (1 cup),2
Grits (1 cup cooked),2
Chocolate Donut (1 medium),2
Arugula (2 cups),2
Celery (1 stalk),2
Campari & Soda (1 drink),2
French Fries (as side),2
Acai Bowl (1 serving),2
Crab Cakes (2 medium),2
Shepherd's Pie (1 serving),2
Brie Cheese (1 oz),2
Polenta (grilled 1 slice),2
Balsamic Glaze (1 tbsp),2
Passion Fruit (1 fruit),2
Turmeric (1 tsp),2
Basil (fresh garnish),2
Fiorentina Steak (3oz portion),2
Pomegranate Molasses (1 tsp),2
Olive Oil (1 tbsp),2
Pecans (1 oz),2
Berry Coulis (1 tbsp),2
Kombucha (16 oz),2
Hot Chocolate (1 cup),2
Provoleta (1 oz grilled cheese),2
Kefir (Plain 1 cup),2
Stuffed Grape Leaves (3 pcs),2
Black Pepper (1/2 tsp),2
Baguette (slice),2
Cobb Salad,2
Century Egg (1 egg),2
Skirt Steak (4oz grilled),2
Salt (1/4 tsp),2
Soy Sauce (1 tbsp for dipping),2
Graham Cracker (1 large rectangle),2
White Rice (1 cup cooked),2
